|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |bii      |lii      |parallax|
|HR 5051|Iot2Mus   |13 27 18.29|-74 41 30.8| 6.63|        |                                           STAR B9V|-11.98830|305.34300|        |
|HR 6373|          |17 16 35.59|-74 31 59.2| 6.25|        |                                           STAR A0V|-20.12240|318.00500|        |
|HR 4186|          |10 39 16.61|-74 29 37.0| 6.07|        |                                          STAR K3II|-13.88220|294.29600|        |
|HR 2979|          |07 35 21.70|-74 16 32.2| 7.16|W       |                                          STAR B9IV|-23.13960|286.11400|0.010   |
|HR 2980|          |07 35 21.79|-74 16 32.2| 7.26|W       |                                          STAR B9IV|-23.13950|286.11400|0.010   |
|HR 1208|Gam Hyi   |03 47 14.30|-74 14 20.0| 3.24|        |                                         STAR M2III|-37.79810|289.12900|0.005   |
|HR 4601|          |12 03 44.30|-74 12 50.0| 6.44|        |                                         STAR G6III|-11.64750|299.64200|        |
|HR 4102|          |10 24 23.71|-74 01 54.1| 4.00|        |                                          STAR F2IV|-14.01850|293.16200|0.086   |
|HR 4105|          |10 24 44.30|-73 58 18.1| 6.19|        |                                           STAR A2V|-13.95530|293.14800|        |
|HR 6899|          |18 32 55.30|-73 57 56.2| 5.89|        |                                         STAR K0III|-24.73390|320.57700|        |
|HR 1964|          |05 34 44.69|-73 44 29.0| 5.78|        |                                         STAR M3III|-31.30410|284.90300|        |
|HR 6751|          |18 12 34.49|-73 40 18.1| 5.85|W       |                                           STAR F5V|-23.28880|320.49100|0.031   |
|HR 715 |Kap Hyi   |02 22 52.30|-73 38 44.9| 5.01|        |                                         STAR K1III|-41.94760|294.47500|        |
|HR 8794|          |23 08 35.69|-73 35 11.0| 6.15|        |                                         STAR K3III|-41.60450|312.36800|        |
|HR 5782|Kap2Aps   |15 40 21.19|-73 26 48.1| 5.65|W       |                                         STAR B7III|-14.43780|314.33600|        |
|HR 3334|Eta Vol   |08 22 04.39|-73 24 00.0| 5.29|W       |                                          STAR A0IV|-19.81750|286.65800|0.010   |
|HR 5730|Kap1Aps   |15 31 30.79|-73 23 21.8| 5.49|W       |                                          STAR B3IV|-14.01140|313.85300|        |
|HR 3417|          |08 32 42.19|-73 21 24.1| 6.12|        |                                         STAR G8III|-19.14000|287.02600|        |
|HR 3171|          |07 59 16.10|-73 14 40.9| 6.34|        |                                         STAR A3III|-21.21020|285.72700|        |
|HR 32  |          |00 10 38.59|-73 13 27.8| 6.64|W       |                                           STAR F2V|-43.58180|306.97700|        |
|HR 4142|          |10 31 01.99|-73 13 18.1| 4.93|W       |                                         STAR K4III|-13.08400|293.12000|        |
|HR 5520|          |14 53 13.70|-73 11 24.0| 5.60|W       |                                         STAR G7III|-12.39260|311.56200|        |
|HR 8061|          |21 09 22.30|-73 10 23.2| 5.68|W       |                                           STAR F8V|-35.61420|320.00000|0.048   |
|HR 169 |          |00 38 40.80|-73 08 13.9| 6.85|        |                                            STAR A1|-43.95910|304.21700|        |
|HR 2531|          |06 43 36.79|-73 07 05.2| 6.37|        |                                         STAR G8III|-26.43310|284.02000|        |
|HR 3821|          |09 31 36.29|-73 04 50.9| 5.47|        |                                         STAR K4III|-15.64130|289.55400|        |
|HR 1700|          |05 06 09.29|-73 02 16.1| 6.27|        |                                           STAR A1V|-33.45430|284.66600|        |
|HR 4769|          |12 32 10.01|-73 00 06.1| 5.88|        |                                         STAR K1III|-10.18330|301.50300|        |
|HR 7027|          |18 49 43.49|-72 59 40.9| 6.06|W       |                                          STAR B9IV|-25.72810|321.87500|        |
|HR 7590|Eps Pav   |20 00 35.50|-72 54 38.2| 3.96|        |                                           STAR A0V|-30.90220|322.01900|0.016   |
|HR 9106|          |00 04 30.70|-72 53 52.1| 7.31|        |                                           STAR F2V|-43.79480|307.68400|        |
|HR 5628|          |15 12 33.79|-72 46 13.1| 6.01|        |                                         STAR B8III|-12.72800|313.03400|        |
|HR 2062|Lam Men   |05 47 48.10|-72 42 07.9| 6.53|        |                                         STAR K0III|-30.52380|283.54500|        |
|HR 4664|          |12 16 23.50|-72 36 52.9| 6.22|        |                                           STAR A0V|-9.92330 |300.28400|        |
|HR 3024|Zet Vol   |07 41 49.20|-72 36 22.0| 3.95|W       |                                         STAR K0III|-22.15500|284.57100|0.017   |
|HR 3643|          |09 05 08.81|-72 36 10.1| 4.48|        |                                          STAR F9II|-16.77020|287.82500|0.024   |
|HR 3544|          |08 49 50.30|-72 33 02.9| 6.11|        |                                            STAR A0|-17.64870|287.05300|        |
|HR 8081|          |21 11 20.69|-72 32 39.1| 6.20|        |                                         STAR K1III|-36.01690|320.62300|        |
|HR 7498|          |19 49 25.30|-72 30 11.9| 5.41|        |                                         STAR A4III|-30.12340|322.59700|0.033   |
|HR 4425|          |11 28 18.19|-72 28 27.8| 6.09|W       |                                           STAR B3V|-10.61760|296.69100|        |
|HR 4213|          |10 44 26.50|-72 26 38.0| 6.27|        |                                           STAR F6V|-11.91490|293.59600|        |
|HR 1606|          |04 53 05.50|-72 24 27.0| 6.28|        |                                           STAR F6V|-34.57390|284.31700|        |
|HR 5955|          |16 05 55.80|-72 24 02.9| 5.70|        |                                         STAR K1III|-14.87830|316.50900|        |
|HR 4406|          |11 24 11.09|-72 15 24.1| 5.59|        |                                          STAR B2IV|-10.51450|296.31800|        |
|HR 8515|Nu  Ind   |22 24 36.79|-72 15 20.2| 5.29|W       |                                           STAR A3V|-40.67360|316.82900|0.031   |
|HR 6565|          |17 44 19.70|-72 13 14.9| 6.49|W       |                                          STAR F7IV|-20.84010|321.16100|0.032   |
|HR 4907|          |12 56 31.51|-72 11 07.1| 5.93|        |                                         STAR G8III|-9.31740 |303.32600|        |
|HR 5030|          |13 22 52.61|-72 08 48.1| 6.05|W       |                                           STAR B6V|-9.42370 |305.36800|        |
|HR 4773|Gam Mus   |12 32 28.01|-72 07 59.2| 3.87|        |                                           STAR B5V|-9.31550 |301.45900|        |
|HR 95  |47    Tuc |00 24 05.80|-72 04 52.0|     |        |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|-44.88950|305.89500|        |
|HR 5012|          |13 19 18.91|-72 02 08.2| 6.04|        |                                         STAR K3III|-9.28150 |305.10500|        |
