|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |
|HR 7867|          |20 33 48.41|+41 46 19.9| 6.49|        |                                         STAR K0III|
|HR 7514|          |19 43 45.00|+41 46 23.2| 5.84|        |                                         STAR M0III|
|HR 8864|9    And  |23 18 23.40|+41 46 25.0| 6.02|        |                                           STAR A7V|
|HR 2516|58Psi7Aur |06 50 45.91|+41 46 53.0| 5.02|W       |                                         STAR K3III|
|HR 3579|          |09 00 38.40|+41 46 58.1| 3.97|W       |                                           STAR F5V|
|HR 5423|          |14 29 36.79|+41 47 44.9| 6.35|        |                                           STAR G5V|
|HR 1749|20Rho Aur |05 21 48.41|+41 48 15.8| 5.23|        |                                           STAR B3V|
|HR 1337|          |04 20 14.40|+41 48 29.2| 5.92|        |                                         STAR K0III|
|HR 8656|13    Lac |22 44 05.50|+41 49 09.1| 5.08|        |                                         STAR K0III|
|HR 2147|          |06 07 26.90|+41 51 15.1| 6.12|        |                                         STAR K0III|
|HR 6146|30    Her |16 28 38.50|+41 52 54.1| 5.04|        |                                         STAR M6III|
|HR 6264|          |16 50 36.10|+41 53 48.1| 6.29|        |                                               STAR|
|HR 8036|          |20 58 30.79|+41 56 25.1| 6.16|        |                                         STAR B7III|
|HR 6767|          |18 05 00.79|+41 56 48.1| 6.34|        |                                           STAR F0V|
|HR 8690|14    Lac |22 50 21.79|+41 57 13.0| 5.92|S       |                                          STAR B3IV|
|HR 3511|          |08 52 10.01|+42 00 09.0| 5.99|        |                                         STAR K0III|
|HR 3287|          |08 24 42.79|+42 00 18.0| 6.02|W       |                                         STAR K5III|
|HR 4264|          |10 56 14.50|+42 00 29.9| 6.03|        |                                         STAR K2III|
|HR 8876|10    And |23 19 52.39|+42 04 41.2| 5.79|        |                                         STAR M0III|
|HR 8528|          |22 21 50.90|+42 04 41.9| 6.41|        |                                           STAR B5V|
|HR 340 |44    And |01 10 18.79|+42 04 53.0| 5.65|        |                                           STAR F8V|
|HR 9105|          |00 04 36.70|+42 05 31.9| 6.01|        |                                         STAR B9III|
|HR 7737|          |20 14 21.60|+42 06 13.0| 6.71|        |                                          STAR B9IV|
|HR 5096|          |13 31 15.79|+42 06 22.0| 6.08|        |                                         STAR K2III|
|HR 1846|          |05 33 28.70|+42 06 32.0| 6.55|        |                                         STAR B9III|
|HR 1328|          |04 18 08.21|+42 08 28.0| 6.22|        |                                           STAR B9V|
|HR 6845|          |18 15 38.81|+42 09 33.8| 5.59|        |                                          STAR B7IV|
|HR 5677|          |15 14 10.30|+42 10 17.0| 6.13|        |                                         STAR M2III|
|HR 6242|          |16 47 19.80|+42 14 20.0| 5.87|        |                                         STAR M4III|
|HR 8138|          |21 16 29.59|+42 15 05.0| 6.43|        |                                            STAR K2|
|HR 7638|          |19 57 56.21|+42 15 38.9| 6.43|        |                                           STAR A3V|
|HR 8762|1Omi And  |23 01 55.30|+42 19 34.0| 3.62|S       |                                         STAR B6III|
|HR 603 |57Gam1And |02 03 54.00|+42 19 46.9| 2.26|        |                                          STAR K3II|
|HR 604 |57Gam2And |02 03 54.70|+42 19 50.9| 4.84|        |                                           STAR B8V|
|HR 9086|          |00 01 43.80|+42 22 01.9| 6.25|        |                                         STAR B9III|
|HR 6050|          |16 11 47.59|+42 22 27.8| 5.87|        |                                          STAR K4II|
|HR 950 |          |03 12 09.60|+42 22 34.0| 6.15|        |                                           STAR B4V|
|HR 8004|          |20 53 26.40|+42 24 37.1| 6.66|        |                                           STAR A1V|
|HR 7444|          |19 34 41.21|+42 24 46.1| 5.35|        |                                           STAR A2V|
|HR 1371|          |04 23 35.90|+42 25 41.2| 6.23|        |                                            STAR A1|
|HR 3181|          |08 09 23.11|+42 25 50.2| 6.27|        |                                               STAR|
|HR 6168|35Sig Her |16 34 06.19|+42 26 12.8| 4.20|S       |                                           STAR B9V|
|HR 5914|1Chi Her  |15 52 40.49|+42 27 06.1| 4.62|        |                                           STAR F8V|
|HR 2427|50Psi2Aur |06 39 19.90|+42 29 20.0| 4.79|W       |                                         STAR K3III|
|HR 966 |          |03 14 56.71|+42 30 14.0| 6.07|        |                                         STAR K2III|
|HR 6313|          |16 57 50.21|+42 30 45.0| 6.34|        |                                         STAR K3III|
|HR 1979|          |05 47 14.69|+42 31 36.1| 6.29|        |                                            STAR K0|
|HR 4715|4    CVn  |12 23 46.99|+42 32 34.1| 6.06|        |                                         STAR F3III|
|HR 5938|4    Her  |15 55 30.60|+42 33 58.0| 5.75|        |                                            STAR B9|
|HR 1135|41Nu  Per |03 45 11.59|+42 34 43.0| 3.77|        |                                          STAR F5II|
|HR 1097|          |03 38 00.19|+42 34 59.2| 6.42|        |                                           STAR B8V|
|HR 1550|          |04 52 47.81|+42 35 12.1| 5.71|        |                                         STAR A3III|
|HR 483 |          |01 41 47.21|+42 36 49.0| 4.95|A       |                                           STAR G1V|
|HR 2775|          |07 21 03.10|+42 39 20.2| 6.35|        |                                            STAR K0|
|HR 9057|          |23 57 03.60|+42 39 29.9| 5.97|        |                                         STAR F8III|
|HR 8144|          |21 17 23.21|+42 40 59.9| 6.19|        |                                           STAR B7V|
|HR 7762|          |20 17 29.09|+42 43 18.8| 6.29|        |                                          STAR K4II|
|HR 8766|2    And  |23 02 36.29|+42 45 28.1| 5.10|        |                                           STAR A3V|
|HR 1722|          |05 18 15.91|+42 47 31.9| 5.48|        |                                         STAR M4III|
|HR 7483|14    Cyg |19 39 26.50|+42 49 05.9| 5.40|        |                                         STAR B9III|
|HR 8296|NOVA 1876 |21 41 43.80|+42 50 28.0|     |        |                                  CV CLASSICAL NOVA|
|HR 4285|          |11 00 20.59|+42 54 41.0| 6.02|W       |                                           STAR F9V|
|HR 2119|38    Aur |06 03 18.00|+42 54 42.1| 6.10|        |                                          STAR K0II|
|HR 8913|13    And |23 27 07.39|+42 54 42.8| 5.75|        |                                         STAR B9III|
|HR 4033|33Lam UMa |10 17 05.81|+42 54 51.8| 3.45|        |                                          STAR A2IV|
|HR 8489|          |22 14 44.40|+42 57 14.0| 5.71|        |                                           STAR A2V|
|HR 2132|39    Aur |06 05 03.41|+42 58 54.1| 5.87|        |                                           STAR F3V|
|HR 7802|          |20 22 55.51|+42 58 59.9| 6.20|        |                                         STAR K0III|
|HR 2898|          |07 35 55.99|+43 01 52.0| 6.30|        |                                            STAR F0|
|HR 4594|67    UMa |12 02 06.79|+43 02 44.2| 5.21|W       |                                           STAR F0V|
|HR 8329|          |21 46 16.61|+43 03 38.9| 6.54|        |                                         STAR G0III|
|HR 1434|57    Per |04 33 24.91|+43 03 50.0| 6.09|W       |                                           STAR F0V|
|HR 7492|          |19 40 41.21|+43 04 40.1| 6.16|        |                                         STAR M2III|
|HR 8579|6    Lac  |22 30 29.30|+43 07 23.9| 4.51|        |                                          STAR B2IV|
|HR 5932|2    Her  |15 54 37.90|+43 08 19.0| 5.37|        |                                         STAR M3III|
|HR 4431|58    UMa |11 30 31.10|+43 10 23.9| 5.94|        |                                           STAR F4V|
|HR 1644|          |05 06 49.61|+43 10 28.9| 6.20|        |                                          STAR F2II|
|HR 3275|31    Lyn |08 22 50.09|+43 11 17.2| 4.25|        |                                         STAR K4III|
|HR 4248|45Ome UMa |10 53 58.70|+43 11 24.0| 4.71|        |                                           STAR A1V|
|HR 7861|          |20 32 52.30|+43 11 30.1| 6.60|        |                                         STAR B4III|
|HR 4336|          |11 09 38.50|+43 12 27.0| 5.89|        |                                         STAR M2III|
|HR 6230|          |16 45 11.71|+43 13 01.9| 6.05|        |                                         STAR K4III|
|HR 3652|36    Lyn |09 13 48.19|+43 13 04.1| 5.32|        |                                         STAR B8III|
|HR 7003|          |18 36 45.60|+43 13 18.8| 6.20|        |                                           STAR F0V|
|HR 3167|28    Lyn |08 07 09.91|+43 15 37.1| 6.26|        |                                           STAR A1V|
|HR 8965|17Iot And |23 38 08.21|+43 16 05.2| 4.29|        |                                           STAR B8V|
|HR 8284|75    Cyg |21 40 11.11|+43 16 26.0| 5.11|        |                                         STAR M1III|
|HR 476 |          |01 40 39.79|+43 17 52.1| 5.61|        |                                               STAR|
|HR 8699|15    Lac |22 52 01.99|+43 18 45.0| 4.94|        |                                         STAR M0III|
|HR 1002|32    Per |03 21 26.50|+43 19 45.8| 4.95|        |                                           STAR A3V|
|HR 1494|59    Per |04 42 54.29|+43 21 54.0| 5.29|        |                                           STAR A1V|
|HR 2115|          |06 02 53.59|+43 22 43.0| 6.42|        |                                            STAR K0|
|HR 7733|          |20 13 42.79|+43 22 45.1| 6.14|        |                                         STAR K4III|
|HR 7382|          |19 23 56.50|+43 23 17.2| 5.84|        |                                         STAR G7III|
|HR 6256|          |16 49 40.49|+43 25 50.2| 6.13|        |                                          STAR K0IV|
|HR 409 |          |01 26 18.60|+43 27 28.1| 5.96|        |                                           STAR F7V|
|HR 7919|          |20 40 03.10|+43 27 31.0| 5.95|        |                                         STAR K2III|
|HR 6791|          |18 07 28.80|+43 27 42.1| 5.00|        |                                         STAR G8III|
|HR 6599|          |17 40 37.61|+43 28 14.9| 6.59|        |                                            STAR K2|
|HR 4392|56    UMa |11 22 49.61|+43 28 58.1| 4.99|        |                                         STAR G7III|
|HR 128 |          |00 32 26.81|+43 29 40.9| 6.70|        |                                           STAR A1V|
|HR 8825|6    And  |23 10 27.19|+43 32 39.1| 5.94|        |                                          STAR F5IV|
|HR 2483|56Psi5Aur |06 46 44.30|+43 34 39.0| 5.25|        |                                           STAR G0V|
|HR 56  |          |00 16 21.60|+43 35 40.9| 6.15|        |                                           STAR A2V|
|HR 4477|59    UMa |11 38 20.59|+43 37 32.2| 5.59|        |                                          STAR F2II|
|HR 5464|          |14 38 12.50|+43 38 30.8| 5.70|        |                                         STAR K2III|
|HR 3508|35    Lyn |08 51 56.81|+43 43 36.1| 5.15|        |                                         STAR K0III|
|HR 70  |26    And |00 18 42.10|+43 47 28.0| 6.11|        |                                           STAR B8V|
|HR 6362|          |17 05 04.99|+43 48 43.9| 6.43|        |                                          STAR A3IV|
|HR 1605|7Eps Aur  |05 01 58.10|+43 49 23.9| 2.99|        |                                           STAR F0I|
|HR 5299|          |14 07 55.80|+43 51 15.8| 5.27|        |                                         STAR M4III|
|HR 5045|          |13 22 03.79|+43 54 11.2| 6.35|        |                                            STAR A7|
|HR 1057|NOVA 1901 |03 31 11.80|+43 54 17.0|     |        |                                  CV CLASSICAL NOVA|
|HR 2557|          |06 55 14.69|+43 54 36.0| 6.13|        |                                         STAR A9III|
|HR 8079|62Xi  Cyg |21 04 55.90|+43 55 40.1| 3.72|        |                                           STAR K4I|
|HR 324 |41    And |01 08 00.89|+43 56 30.8| 5.03|        |                                            STAR A3|
|HR 8154|68    Cyg |21 18 27.19|+43 56 44.9| 5.00|        |                                         STAR O7III|
|HR 7157|13    Lyr |18 55 20.09|+43 56 46.0| 4.04|        |                                         STAR M5III|
|HR 1170|          |03 49 08.21|+43 57 47.2| 6.02|        |                                          STAR A9IV|
|HR 3094|          |07 58 16.61|+43 58 39.0| 6.34|        |                                            STAR K0|
|HR 2434|          |06 39 58.01|+44 00 50.0| 6.41|        |                                         STAR K1III|
|HR 982 |30    Per |03 17 47.40|+44 01 30.0| 5.47|        |                                           STAR B8V|
|HR 8768|          |23 02 45.19|+44 03 32.0| 6.39|        |                                           STAR B2V|
|HR 7984|56    Cyg |20 50 04.90|+44 03 33.8| 5.04|W       |                                            STAR A4|
|HR 1558|          |04 54 51.31|+44 03 38.9| 6.08|        |                                           STAR A0V|
|HR 6612|          |17 43 05.59|+44 05 03.8| 6.34|        |                                         STAR K4III|
|HR 4843|          |12 44 27.10|+44 06 11.2| 6.33|        |                                          STAR F6IV|
|HR 8884|          |23 20 43.99|+44 06 59.0| 6.13|        |                                           STAR A5V|
|HR 5116|          |13 35 14.09|+44 11 48.8| 6.84|        |                                         STAR A7III|
|HR 643 |60    And |02 13 13.30|+44 13 54.1| 4.83|S       |                                         STAR K3III|
|HR 8632|11    Lac |22 40 30.91|+44 16 35.0| 4.46|        |                                         STAR K2III|
|HR 800 |14    Per |02 44 05.21|+44 17 48.8| 5.43|        |                                           STAR G0I|
|HR 663 |          |02 17 33.41|+44 18 24.8| 6.70|        |                                            STAR M7|
|HR 8976|19Kap And |23 40 24.50|+44 20 02.0| 4.14|        |                                          STAR B9IV|
|HR 469 |52Chi And |01 39 21.00|+44 23 10.0| 4.98|        |                                         STAR G8III|
|HR 8001|57    Cyg |20 53 14.81|+44 23 13.9| 4.78|        |                                           STAR B5V|
|HR 104 |          |00 28 13.70|+44 23 39.8| 5.17|        |                                           STAR A2V|
|HR 5468|33    Boo |14 38 50.21|+44 24 15.8| 5.39|        |                                           STAR A1V|
|HR 1733|          |05 20 02.30|+44 25 32.2| 6.62|        |                                            STAR K0|
|HR 8962|          |23 37 31.99|+44 25 45.1| 5.80|        |                                           STAR B8V|
|HR 5716|          |15 20 41.59|+44 26 03.1| 6.19|        |                                          STAR F3IV|
|HR 619 |          |02 08 33.60|+44 27 33.8| 6.42|        |                                         STAR G8III|
|HR 8035|          |20 58 19.49|+44 28 18.1| 5.55|        |                                         STAR K0III|
|HR 152 |          |00 36 46.61|+44 29 19.0| 5.13|        |                                         STAR K5III|
|HR 4335|52Psi UMa |11 09 39.79|+44 29 55.0| 3.01|        |                                         STAR K1III|
|HR 2459|55Psi4Aur |06 43 04.99|+44 31 27.8| 5.02|        |                                         STAR K5III|
|HR 8666|          |22 46 10.20|+44 32 46.0| 5.76|        |                                         STAR F0III|
|HR 8806|          |23 08 12.29|+44 33 42.1| 6.56|        |                                          STAR A2IV|
|HR 2096|          |06 00 19.01|+44 35 30.8| 6.22|        |                                         STAR K2III|
|HR 5612|          |15 03 06.60|+44 38 39.8| 6.65|S       |                                          STAR F6IV|
|HR 8407|          |22 02 56.69|+44 39 00.0| 5.60|        |                                          STAR A0IV|
|HR 7468|          |19 36 37.90|+44 41 42.0| 5.17|        |                                         STAR G9III|
|HR 8272|          |21 37 27.89|+44 41 48.1| 6.20|        |                                         STAR A7III|
|HR 282 |          |01 00 03.41|+44 42 40.0| 6.84|        |                                           STAR A2V|
|HR 283 |          |01 00 03.60|+44 42 47.9| 6.04|        |                                           STAR B9V|
|HR 8708|          |22 53 40.10|+44 44 57.1| 5.81|        |                                           STAR A3V|
|HR 8062|          |21 02 24.10|+44 47 28.0| 6.19|        |                                               STAR|
|HR 2532|          |06 53 07.61|+44 50 21.8| 6.26|        |                                           STAR A8V|
|HR 1072|          |03 32 39.10|+44 51 20.2| 6.41|        |                                          STAR B2IV|
|HR 941 |27Kap Per |03 09 29.81|+44 51 25.9| 3.80|        |                                         STAR K0III|
|HR 205 |          |00 46 10.90|+44 51 41.0| 6.05|        |                                         STAR B9III|
|HR 372 |          |01 17 05.09|+44 54 06.8| 6.34|        |                                            STAR K5|
|HR 8023|          |20 56 34.70|+44 55 30.0| 5.96|        |                                           STAR O6V|
|HR 6023|11Phi Her |16 08 46.20|+44 56 06.0| 4.26|        |                                            STAR B9|
|HR 2088|34Bet Aur |05 59 31.70|+44 56 51.0| 1.90|        |                                          STAR A2IV|
|HR 1176|          |03 50 04.49|+44 58 04.1| 5.66|        |                                         STAR G2III|
|HR 8986|          |23 42 14.81|+44 59 30.8| 6.57|        |                                               STAR|
|HR 234 |          |00 50 18.31|+45 00 07.9| 6.15|        |                                            STAR A0|
|HR 8424|          |22 06 01.99|+45 00 51.8| 5.14|        |                                         STAR K5III|
|HR 8941|          |23 33 42.70|+45 03 29.2| 6.24|        |                                          STAR G8II|
|HR 2585|16    Lyn |06 57 37.10|+45 05 39.1| 4.90|        |                                           STAR A2V|
|HR 4486|          |11 38 44.90|+45 06 31.0| 6.44|        |                                           STAR G0V|
|HR 8422|          |22 05 50.59|+45 06 43.9| 6.44|        |                                           STAR A0V|
|HR 7528|18Del Cyg |19 44 58.49|+45 07 50.9| 2.87|        |                                          STAR B9IV|
|HR 8870|          |23 19 02.40|+45 08 13.9| 6.50|        |                                           STAR A5V|
|HR 8857|          |23 17 16.61|+45 09 51.1| 6.43|        |                                          STAR K0IV|
|HR 8003|          |20 53 18.60|+45 10 54.8| 5.45|        |                                          STAR K0II|
|HR 8617|          |22 38 17.50|+45 10 59.2| 6.40|S       |                                         STAR G2III|
|HR 6847|          |18 15 32.59|+45 12 33.8| 6.29|        |                                           STAR G2V|
|HR 4103|          |10 28 36.50|+45 12 43.9| 6.35|        |                                            STAR K0|
|HR 2776|          |07 21 17.50|+45 13 41.2| 5.77|        |                                            STAR A7|
|HR 1   |          |00 05 09.89|+45 13 45.1| 6.70|        |                                           STAR A1V|
|HR 8429|          |22 06 12.41|+45 14 55.0| 6.19|        |                                           STAR A3V|
|HR 9080|          |00 00 43.70|+45 15 11.9| 6.38|        |                                            STAR B9|
|HR 4945|          |13 05 52.30|+45 16 07.0| 5.63|        |                                         STAR K1III|
|HR 5732|          |15 24 05.11|+45 16 16.0| 6.01|        |                                         STAR K2III|
|HR 7924|50Alp Cyg |20 41 25.90|+45 16 49.1| 1.25|        |                                           STAR A2I|
|HR 3509|          |08 52 11.59|+45 18 45.0| 5.99|        |                                         STAR K0III|
|HR 495 |          |01 43 16.51|+45 19 19.9| 6.34|        |                                          STAR K2IV|
|HR 355 |          |01 12 34.01|+45 20 16.1| 6.11|        |                                         STAR M1III|
|HR 973 |          |03 16 04.70|+45 20 44.9| 6.16|        |                                         STAR M2III|
|HR 6702|          |17 56 48.41|+45 21 02.9| 6.02|        |                                          STAR M5II|
|HR 8262|          |21 36 02.40|+45 22 28.9| 5.53|        |                                         STAR M5III|
|HR 8755|          |23 00 34.39|+45 22 30.0| 6.50|        |                                           STAR A3V|
|HR 465 |          |01 38 31.70|+45 24 00.0| 6.36|        |                                            STAR B9|
|HR 417 |48Ome And |01 27 39.41|+45 24 24.1| 4.83|        |                                          STAR F5IV|
|HR 3929|          |09 57 56.90|+45 24 51.8| 6.30|        |                                         STAR K0III|
|HR 4846|          |12 45 07.80|+45 26 25.1| 4.99|        |                                               STAR|
|HR 8487|          |22 13 49.30|+45 26 26.9| 5.53|        |                                         STAR A0III|
|HR 6718|          |17 58 52.30|+45 28 34.0| 6.48|        |                                            STAR B9|
|HR 8861|          |23 17 56.11|+45 29 20.0| 6.48|        |                                            STAR B9|
|HR 6728|          |17 59 56.21|+45 30 05.0| 5.67|        |                                         STAR M0III|
|HR 8103|          |21 09 58.61|+45 30 09.0| 6.63|        |                                          STAR B4IV|
|HR 7495|          |19 40 50.21|+45 31 30.0| 5.06|W       |                                          STAR F5II|
|HR 4280|          |11 00 14.69|+45 31 34.0| 5.47|        |                                         STAR K5III|
|HR 390 |46Xi  And |01 22 20.40|+45 31 44.0| 4.88|        |                                         STAR K0III|
|HR 7756|          |20 16 00.60|+45 34 45.8| 5.91|        |                                           STAR F5V|
|HR 7966|          |20 47 20.81|+45 34 46.9| 6.40|        |                                         STAR K3III|
|HR 8252|73Rho Cyg |21 33 58.90|+45 35 30.8| 4.02|        |                                         STAR G8III|
|HR 6162|          |16 31 47.30|+45 35 53.9| 5.65|        |                                           STAR A4V|
|HR 3743|          |09 28 40.01|+45 36 05.0| 5.41|W       |                                         STAR K0III|
|HR 3545|          |08 56 49.99|+45 37 54.8| 5.74|        |                                          STAR K1IV|
|HR 3309|          |08 27 36.79|+45 39 11.2| 6.32|        |                                           STAR G5V|
|HR 7912|          |20 39 23.11|+45 40 00.8| 6.58|        |                                          STAR B5IV|
|HR 1141|          |03 45 59.30|+45 40 54.8| 5.66|        |                                           STAR B6V|
|HR 8448|          |22 08 40.99|+45 44 30.8| 6.11|        |                                          STAR G2IV|
|HR 5271|          |14 02 12.19|+45 45 13.0| 6.27|        |                                         STAR K2III|
|HR 8298|          |21 42 08.40|+45 45 56.9| 6.17|        |                                         STAR M4III|
|HR 7798|          |20 22 05.40|+45 47 42.0| 5.58|        |                                         STAR K0III|
|HR 2556|          |06 55 15.19|+45 49 35.0| 6.34|        |                                         STAR K0III|
|HR 3422|34    Lyn |08 41 01.10|+45 50 02.0| 5.37|        |                                          STAR G8IV|
|HR 272 |          |00 57 39.70|+45 50 22.9| 6.12|        |                                         STAR K2III|
|HR 8064|          |21 02 48.50|+45 50 56.0| 6.48|        |                                           STAR B3V|
|HR 8248|          |21 33 17.90|+45 51 15.1| 6.25|        |                                           STAR K1I|
|HR 7841|          |20 29 59.90|+45 55 43.0| 6.41|        |                                         STAR K2III|
|HR 2091|35Pi  Aur |05 59 56.09|+45 56 12.8| 4.26|        |                                          STAR M3II|
|HR 7487|          |19 39 34.39|+45 57 29.2| 6.20|        |                                          STAR G8II|
|HR 6254|52    Her |16 49 14.21|+45 58 59.9| 4.82|        |                                           STAR A2V|
|HR 1708|13Alp Aur |05 16 41.40|+45 59 53.2| 0.08|        |                                         STAR G5III|
|HR 6588|85Iot Her |17 39 27.89|+46 00 23.0| 3.80|W       |                                          STAR B3IV|
|HR 3881|          |09 48 35.40|+46 01 16.0| 5.09|        |                                           STAR G0V|
|HR 5067|          |13 26 16.61|+46 01 41.2| 5.88|        |                                               STAR|
|HR 5982|6Ups Her  |16 02 47.90|+46 02 12.1| 4.76|        |                                         STAR B9III|
|HR 1069|36    Per |03 32 26.30|+46 03 24.8| 5.31|        |                                         STAR F4III|
|HR 8800|          |23 07 18.10|+46 04 05.2| 6.66|        |                                           STAR B2V|
|HR 27  |22    And |00 10 19.30|+46 04 19.9| 5.03|        |                                          STAR F2II|
|HR 5351|19Lam Boo |14 16 22.99|+46 05 17.9| 4.18|        |                                            STAR A0|
|HR 1130|          |03 44 40.90|+46 05 58.9| 6.11|        |                                          STAR A7IV|
|HR 7977|55    Cyg |20 48 56.30|+46 06 51.1| 4.84|        |                                           STAR B3I|
|HR 5533|38    Boo |14 49 18.70|+46 06 58.0| 5.74|        |                                          STAR F7IV|
|HR 504 |          |01 44 26.50|+46 08 22.9| 6.35|        |                                         STAR K5III|
|HR 8053|60    Cyg |21 01 10.90|+46 09 20.9| 5.37|        |                                           STAR B1V|
|HR 4919|          |12 57 07.70|+46 10 36.8| 6.12|        |                                         STAR K0III|
|HR 2903|          |07 36 31.61|+46 10 49.1| 5.65|        |                                         STAR M0III|
|HR 8964|          |23 37 58.61|+46 11 58.9| 6.58|        |                                            STAR G5|
|HR 4191|          |10 43 32.90|+46 12 14.0| 5.18|W       |                                         STAR F5III|
|HR 518 |          |01 47 48.00|+46 13 46.9| 6.32|        |                                           STAR F6V|
|HR 6464|74    Her |17 20 21.10|+46 14 26.9| 5.59|        |                                         STAR M0III|
|HR 2568|Psi9Aur   |06 56 32.30|+46 16 27.1| 5.87|        |                                         STAR B8III|
|HR 8304|          |21 42 38.90|+49 36 01.1| 6.09|        |                                          STAR G8II|
|HR 6092|22Tau Her |16 19 44.40|+46 18 47.9| 3.89|        |                                          STAR B5IV|
|HR 7080|          |18 46 58.99|+46 18 54.0| 6.52|        |                                          STAR A2IV|
|HR 7777|          |20 18 49.61|+46 19 22.1| 6.45|        |                                           STAR B2V|
|HR 2239|43    Aur |06 18 16.90|+46 21 38.2| 6.38|        |                                         STAR K2III|
|HR 8804|4    And  |23 07 39.31|+46 23 13.9| 5.33|        |                                         STAR K5III|
|HR 9070|          |23 58 46.51|+46 24 47.2| 6.54|        |                                           STAR B4V|
|HR 9003|20Psi And |23 46 02.11|+46 25 13.1| 4.95|W       |                                           STAR G5I|
|HR 2228|42    Aur |06 17 34.70|+46 25 27.1| 6.52|        |                                           STAR F0V|
|HR 8961|16Lam And |23 37 33.89|+46 27 29.2| 3.82|W       |                                         STAR G8III|
|HR 4561|65    UMa |11 55 11.21|+46 28 10.9| 7.03|        |                                            STAR A1|
|HR 671 |          |02 19 10.90|+46 28 21.0| 6.21|        |                                           STAR A4V|
|HR 4560|65    UMa |11 55 05.69|+46 28 36.8| 6.54|        |                                           STAR A3V|
|HR 1350|53    Per |04 21 33.19|+46 29 56.0| 4.85|        |                                          STAR B4IV|
|HR 7958|          |20 46 38.50|+46 31 54.1| 6.30|W       |                                           STAR A3V|
|HR 8523|2    Lac  |22 21 01.61|+46 32 12.1| 4.57|        |                                           STAR B6V|
|HR 8228|71    Cyg |21 29 27.00|+46 32 26.2| 5.24|        |                                         STAR K0III|
|HR 6183|          |16 36 11.21|+46 36 47.9| 5.79|        |                                          STAR G8II|
|HR 6674|          |17 52 01.01|+46 38 35.9| 6.38|        |                                         STAR K0III|
|HR 4430|          |11 30 25.01|+46 39 27.0| 6.35|        |                                         STAR K2III|
|HR 7983|          |20 49 54.70|+46 39 40.0| 6.33|        |                                           STAR B4V|
|HR 2338|47    Aur |06 30 03.00|+46 41 08.2| 5.90|        |                                               STAR|
|HR 7870|          |20 33 54.91|+46 41 38.0| 5.78|W       |                                            STAR B9|
|HR 2573|          |06 56 55.99|+46 42 18.0| 5.86|        |                                               STAR|
|HR 8208|          |21 25 19.61|+46 42 51.8| 5.60|        |                                           STAR F0V|
|HR 7735|31    Cyg |20 13 37.90|+46 44 29.0| 3.79|        |                                          STAR K2II|
|HR 8421|          |22 05 16.39|+46 44 40.9| 6.13|        |                                         STAR M4III|
|HR 4044|          |10 18 58.99|+46 45 38.9| 6.43|W       |                                         STAR K1III|
|HR 5830|          |15 38 16.20|+46 47 52.1| 5.75|        |                                           STAR F2V|
|HR 7730|30    Cyg |20 13 18.00|+46 48 56.9| 4.83|        |                                         STAR A5III|
|HR 3676|          |09 17 31.20|+46 49 01.9| 5.97|        |                                           STAR A1V|
|HR 9011|          |23 47 33.19|+46 49 57.0| 6.07|        |                                          STAR B3IV|
|HR 4480|60    UMa |11 38 33.50|+46 50 03.1| 6.10|        |                                         STAR F5III|
|HR 7786|          |20 19 56.11|+46 50 15.0| 6.50|        |                                         STAR B8III|
|HR 842 |          |02 51 41.71|+46 50 30.8| 5.88|        |                                         STAR G8III|
|HR 8074|          |21 03 43.30|+46 51 42.8| 6.32|        |                                          STAR F0IV|
|HR 3436|          |08 43 00.19|+46 54 04.0| 6.22|        |                                         STAR G8III|
|HR 3797|          |09 34 19.61|+46 54 07.9| 6.52|        |                                           STAR F0V|
|HR 7215|16    Lyr |19 01 26.40|+46 56 04.9| 5.01|        |                                           STAR A7V|
|HR 1047|          |03 29 26.21|+46 56 16.1| 6.24|        |                                           STAR B7V|
|HR 1668|          |05 10 42.89|+46 57 43.9| 5.68|        |                                           STAR F5V|
|HR 1736|          |05 20 39.29|+46 57 50.0| 6.54|        |                                         STAR G0III|
|HR 7322|          |19 16 51.41|+46 59 57.1| 6.00|        |                                          STAR F6IV|
|HR 430 |49    And |01 30 06.19|+47 00 25.9| 5.27|        |                                         STAR K0III|
|HR 184 |20Pi  Cas |00 43 28.10|+47 01 28.9| 4.94|        |                                           STAR A5V|
|HR 7589|          |19 51 59.09|+47 01 39.0| 5.62|        |                                           STAR O9I|
|HR 3594|12Kap UMa |09 03 37.49|+47 09 24.1| 3.60|        |                                           STAR A1V|
|HR 865 |          |02 56 33.41|+47 09 50.0| 6.02|W       |                                               STAR|
|HR 8652|          |22 43 04.49|+47 10 07.0| 6.39|        |                                           STAR A1V|
|HR 4909|          |12 54 56.50|+47 11 48.1| 5.84|        |                                         STAR M5III|
|HR 5752|          |15 28 44.50|+47 12 05.0| 6.15|        |                                           STAR A0V|
|HR 885 |          |02 59 49.90|+47 13 14.9| 5.47|        |                                         STAR G5III|
|HR 2721|          |07 15 50.09|+47 14 24.0| 5.58|        |                                           STAR G0V|
|HR 335 |42Phi And |01 09 30.19|+47 14 30.8| 4.25|        |                                           STAR B7V|
|HR 5597|          |15 00 38.71|+47 16 40.1| 6.37|        |                                            STAR B9|
|HR 933 |          |03 07 47.40|+47 18 29.9| 6.41|        |                                           STAR A3V|
|HR 679 |          |02 20 41.40|+47 18 38.9| 6.11|        |                                           STAR B5V|
