ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly)
6870,NGC 6870,Galaxy,Telescopium,12.2,2.5,20,10.2,-,48,17,
6871,NGC 6871,Open Cluster,Cygnus,5.2,20.0,20,5.9,+,35,47,
6872,NGC 6872,Galaxy,Pavo,11.6,4.7,20,16.9,-,70,46,
6875,NGC 6875,Galaxy,Telescopium,13.0,2.5,20,13.2,-,46,9,
6876,NGC 6876,Galaxy,Pavo,13.0,2.4,20,18.3,-,70,52,
6877,NGC 6877,Galaxy,Pavo,12.7,1.4,20,18.6,-,70,51,
6878,NGC 6878,Galaxy,Sagittarius,13.4,1.7,20,13.9,-,44,31,
6879,NGC 6879,Planetary Nebula,Sagitta,13.0,0.1,20,10.5,+,16,55,
6881,NGC 6881,Planetary Nebula,Cygnus,14.0,0.1,20,10.8,+,37,25,
6882,NGC 6882,Open Cluster,Vulpecula,8.1,18.0,20,11.7,+,26,33,
6883,NGC 6883,Open Cluster,Cygnus,8.0,15.0,20,11.3,+,35,51,
