,name,alt_name,ra,dec,vmag,multiple,class,bii,lii,parallax,distance,absmag
7974,HR 1059,,03 31 49.10,+49 24 02.9,6.39,,STARB9III,-5.5567,147.837,,1716.6125141953755,-4.783361371150132
7975,HR 8830,7And,23 12 33.00,+49 24 23.0,4.52,,STARF0V,-10.3569,106.872,0.051,80.19581453088797,-0.0007585138913395184
7976,HR 3778,,09 33 07.20,+49 26 19.0,6.76,,STARA4V,46.1915,168.586,,335.8974023657275,-0.8710332263742533
7977,HR 5300,13Boo,14 08 17.30,+49 27 29.2,5.25,W,STARM1III,63.2263,94.583,0.02,699.9063899079858,-3.9751997924642755
7978,HR 2751,,07 18 31.90,+49 27 54.0,5.05,,STARA4III,24.5051,168.107,0.008,442.54596702458804,-3.1797919366190186
7979,HR 4367,,11 16 41.90,+49 28 35.0,5.88,,STAR,61.1852,155.721,,434.87517026282853,-2.3118230589557767
7980,HR 8541,4Lac,22 24 31.01,+49 28 35.0,4.57,,STARB9I,-6.7107,99.8984,0.003,1853.1612369154623,-6.769566036843528
7981,HR 5126,,13 36 39.79,+49 29 12.1,6.49,,STARK1III,66.008,104.678,,569.2083380403515,-2.286356266077327
7982,HR 1044,34Per,03 29 22.10,+49 30 32.0,4.67,,STARB3V,-5.696,147.446,0.018,558.4869481115093,-4.06506514035228
7983,HR 8161,,21 19 28.80,+49 30 37.1,5.76,,STARB6V,-0.0615,91.7008,0.001,550.0107549698506,-2.941855909092963
7984,HR 8981,,23 41 26.90,+49 30 43.9,6.26,,STARA4V,-11.7898,111.429,,699.9063899079858,-2.9651997924642757
7985,HR 7341,,19 18 37.70,+49 34 10.9,6.31,,STARK1III,16.1873,80.8226,0.003,444.35473800697736,-1.928649076333925
7986,HR 937 ,IotPer,03 09 04.01,+49 36 47.9,4.05,W,STARG0V,-7.3801,144.598,0.084,34.379295635830225,1.3685151269891342
7987,HR 5581,,14 56 22.99,+49 37 43.0,5.63,,STARF7V,57.1727,84.644,0.027,82.25885944441902,1.0540865823538352
