ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly)
M23,NGC 6494,Open Cluster,Sagittarius,6.9,27.0,17,56.8,-,19,1.0,"2,150"
M24,NGC 6603 Milky Way Patch,Star Cloud,Sagittarius,4.6,90.0,18,18.4,-,18,25.0,"10,000"
M25,IC 4725,Open Cluster,Sagittarius,6.5,40.0,18,31.7,-,19,14.0,"2,000"
M26,NGC 6694,Open Cluster,Scutum,8.0,15.0,18,45.2,-,9,24.0,"5,000"
M27,NGC 6853 Dumbbell Nebula,Planetary Nebula,Vulpecula,7.4,8.0,19,59.6,+,22,43.0,"1,250"
M28,NGC 6626,Globular Cluster,Sagittarius,6.8,11.2,18,24.5,-,24,52.0,"17,900"
M29,NGC 6913,Open Cluster,Cygnus,7.1,7.0,20,23.9,+,38,32.0,"4,000"
M30,NGC 7099,Globular Cluster,Capricornus,7.2,11.0,21,40.4,-,23,11.0,"24,800"
M31,NGC 224 Andromeda Galaxy,Spiral Galaxy,Andromeda,3.4,178.0,0,42.7,+,41,16.0,"2,900,000"
M32,NGC 221 Satellite of M31,Elliptical Galaxy,Andromeda,8.1,8.0,0,42.7,+,40,52.0,"2,900,000"
M33,NGC 598 Triangulum/Pinwheel Galaxy,Spiral Galaxy,Triangulum,5.7,73.0,1,33.9,+,30,39.0,"3,000,000"
M34,NGC 1039,Open Cluster,Perseus,5.5,35.0,2,42.0,+,42,47.0,"1,400"
M35,NGC 2168,Open Cluster,Gemini,5.3,28.0,6,8.9,+,24,20.0,"2,800"
M36,NGC 1960,Open Cluster,Auriga,6.3,12.0,5,36.1,+,34,8.0,"4,100"
M37,NGC 2099,Open Cluster,Auriga,6.2,24.0,5,52.4,+,32,33.0,"4,400"
M38,NGC 1912,Open Cluster,Auriga,7.4,21.0,5,28.7,+,35,50.0,"4,200"
M39,NGC 7092,Open Cluster,Cygnus,5.2,32.0,21,32.2,+,48,26.0,825
M40,Winecke 4,Double Star,Ursa Major,9.0,0.82,12,22.2,+,58,5.0,510
M41,NGC 2287,Open Cluster,Canis Major,4.6,38.0,6,47.0,-,20,44.0,"2,300"
M42,NGC 1976 Great Orion Nebula,Diffuse Nebula,Orion,4.0,85.0,5,35.4,-,5,27.0,"1,600"
M43,NGC 1982 de Mairan¹s Nebula,Diffuse Nebula,Orion,9.0,20.0,5,35.6,-,5,16.0,"1,600"
M44,NGC 2632 Beehive Cluster (Praesepe),Open Cluster,Cancer,3.7,95.0,8,40.1,+,19,59.0,577
M45,"Pleiades, Subaru, Seven Sisters",Open Cluster,Taurus,1.6,110.0,3,47.0,+,24,7.2,380
M46,NGC 2437,Open Cluster,Puppis,6.0,27.0,7,41.8,-,14,49.0,"5,400"
M47,NGC 2422,Open Cluster,Puppis,5.2,30.0,7,36.6,-,14,30.0,"1,600"
M48,NGC 2548,Open Cluster,Hydra,5.5,54.0,8,13.8,-,5,48.0,"1,500"
M49,NGC 4472,Elliptical Galaxy,Virgo,8.4,9.0,12,29.8,+,8,0.0,"60,000,000"
M50,NGC 2323,Open Cluster,Monocerus,6.3,16.0,7,3.2,-,8,20.0,"3,000"
